strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
Linepack without redesign,800.0,0.0,100.0,500000000.0,0.0,30.0,0,800.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,0.0,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0,0.25528512417877686,127642562.08938842,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
Joint design,800.0,0.0,100.0,500000000.0,0.0,30.0,0,800.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,0.0,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0,0.25528512417877686,127642562.08938842,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
External storage only,800.0,6.0,100.0,500000000.0,342465.7534246575,30.0,0,800.0,,,0.0,0.0,0.0,342465.7534246575,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,34246575.34246575,0.18397031651327486,0.008101605864454974,0.063213201801047,0.00684931506849315,0.26213443924727,131067219.623635,0.0,Transport assets retained,False,0.0068493150641000256,0.0,0.0068493150641000256,2.612901640764228
Linepack without redesign,800.0,6.0,100.0,500000000.0,342465.7534246575,30.0,0,800.0,38.0591784721335,60.865101403477006,11.733764032321282,342465.7532050027,342465.7532050027,0.00021965481573715806,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,0.021965481573715806,0.18397031651327486,0.008101605864454974,0.063213201801047,4.393096314743161e-12,0.25528512418316995,127642562.09158497,0.0,Transport assets retained,True,0.0068493150641000256,0.0,0.0068493150641000256,2.612901640764228
Joint design,800.0,6.0,100.0,500000000.0,342465.7534246575,30.0,0,800.0,38.0591784721335,60.865101403477006,11.733764032321282,342465.7532050027,342465.7532050027,0.00021965481573715806,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,0.021965481573715806,0.18397031651327486,0.008101605864454974,0.063213201801047,4.393096314743161e-12,0.25528512418316995,127642562.09158497,0.0,Transport assets retained,True,0.0068493150641000256,0.0,0.0068493150641000256,2.612901640764228
External storage only,800.0,12.0,100.0,500000000.0,684931.506849315,30.0,0,800.0,,,0.0,0.0,0.0,684931.506849315,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,68493150.6849315,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0136986301369863,0.2689837543157631,134491877.15788156,0.0,Transport assets retained,False,0.013665817773441558,0.0,0.013665817773441558,5.080536483775559
Linepack without redesign,800.0,12.0,100.0,500000000.0,684931.506849315,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,1640.61817723501,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,164061.817723501,0.18397031651327486,0.008101605864454974,0.063213201801047,3.28123635447002e-05,0.25531793654232154,127658968.27116077,0.0,Transport assets retained,True,0.013665817773441558,0.0,0.013665817773441558,5.080536483775559
Joint design,800.0,12.0,100.0,500000000.0,684931.506849315,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,1640.61817723501,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,164061.817723501,0.18397031651327486,0.008101605864454974,0.063213201801047,3.28123635447002e-05,0.25531793654232154,127658968.27116077,0.0,Transport assets retained,True,0.013665817773441558,0.0,0.013665817773441558,5.080536483775559
External storage only,800.0,24.0,100.0,500000000.0,1369863.01369863,30.0,0,800.0,,,0.0,0.0,0.0,1369863.01369863,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,136986301.369863,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0273972602739726,0.28268238445274946,141341192.22637472,0.0,Transport assets retained,False,0.013665817773441613,0.0,0.013665817773441613,4.834336529280926
Linepack without redesign,800.0,24.0,100.0,500000000.0,1369863.01369863,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,686572.12502655,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,68657212.502655,0.18397031651327486,0.008101605864454974,0.063213201801047,0.013731442500531,0.26901656667930784,134508283.3396539,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.834336529280926
