annual_delivered_kg,length_km,diameter_in,stations,segment_length_km,pack_outlet_bar_a,pack_average_bar_a,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,pipeline_capex_2018_usd,compressor_capex_2018_usd,full_year_energy_kwh,transport_lcot_2023_usd_per_kg,transport_selected
500000000.0,800.0,36.0,4,160.0,69.70351833571904,70.36041590514827,2,19817.671124984532,1,292.4693201651804,780104435.6408519,22335342.11907686,319740737.4494825,0.31306485890119423,False
500000000.0,800.0,36.0,5,133.33333333333334,69.92351061153907,70.4697846376714,2,19817.671124984532,1,243.64945142351152,780104435.6408519,22522782.013817005,320477643.5255901,0.313295618341897,False
500000000.0,800.0,36.0,6,114.28571428571429,70.08022514336653,70.54776589159871,2,19817.671124984532,1,208.93832477349545,780104435.6408519,22676024.857383706,321016691.13905984,0.31347099999925326,False
500000000.0,800.0,36.0,7,100.0,70.19753144571494,70.60617606983158,2,19817.671124984532,1,182.9823088673873,780104435.6408519,22805877.283728242,321431781.2775873,0.31361088557835354,False
500000000.0,800.0,36.0,8,88.88888888888889,70.28863433027783,70.65156148675524,2,19817.671124984532,1,162.83369712148712,780104435.6408519,22918768.563131444,321763799.21589273,0.31372645833426716,False
500000000.0,800.0,36.0,9,80.0,70.36143170779152,70.68784172986696,2,19817.671124984532,1,146.73536809011964,780104435.6408519,23018814.51889068,322037244.30450356,0.3138245269245251,False
500000000.0,800.0,36.0,10,72.72727272727273,70.42093722444703,70.71750703704693,2,19817.671124984532,1,133.57464396413286,780104435.6408519,23108800.412815116,322267718.02803916,0.31390949419814135,False
500000000.0,800.0,36.0,11,66.66666666666667,70.4704867721393,70.74221541290572,2,19817.671124984532,1,122.61256015277591,780104435.6408519,23190694.96204681,322465644.0890191,0.31398434578642015,False
500000000.0,800.0,36.0,12,61.53846153846154,70.51238611673925,70.76311348732976,2,19817.671124984532,1,113.33906103908953,780104435.6408519,23265939.356665287,322638262.87181497,0.31405118560172235,False
500000000.0,800.0,36.0,13,57.142857142857146,70.54828003469484,70.78101955574202,2,19817.671124984532,1,105.39069643937965,780104435.6408519,23335619.44861819,322790767.9397931,0.31411154403804875,False
500000000.0,800.0,36.0,14,53.333333333333336,70.57937333126661,70.79653325081544,2,19817.671124984532,1,98.50145434546529,780104435.6408519,23400573.310593925,322926986.81007373,0.3141665643882427,False
500000000.0,800.0,36.0,15,50.0,70.60656873349193,70.8101040071725,2,19817.671124984532,1,92.47214205898408,780104435.6408519,23461461.12842332,323049806.1242,0.31421712037762795,False
500000000.0,800.0,42.0,0,800.0,67.96310498782768,69.49933452921917,2,19817.671124984532,0,0.0,846034205.0354263,19857823.53684561,301917911.39976436,0.3283529492273325,False
500000000.0,800.0,42.0,1,400.0,69.50491103205941,70.26177896490564,2,19817.671124984532,1,336.6566035341519,846034205.0354263,20553195.6825129,307046801.568389,0.3297104942955175,False
500000000.0,800.0,42.0,2,266.6666666666667,70.01130144653192,70.51346216077297,2,19817.671124984532,1,224.1986168341494,846034205.0354263,20853301.038843863,308749145.7770414,0.33018935490987206,False
500000000.0,800.0,42.0,3,200.0,70.26312807275589,70.63885284504508,2,19817.671124984532,1,168.47425983026199,846034205.0354263,21038282.71987401,309617917.5707892,0.33044672045580636,False
500000000.0,800.0,42.0,4,160.0,70.41379174825978,70.71394435537128,2,19817.671124984532,1,135.15517290462446,846034205.0354263,21170856.81753145,310154150.1103348,0.3306130802686628,False
500000000.0,800.0,42.0,5,133.33333333333334,70.51405535706928,70.76394613814955,2,19817.671124984532,1,112.96951555802083,846034205.0354263,21274062.425507337,310523241.4544449,0.33073246359760167,False
500000000.0,800.0,42.0,6,114.28571428571429,70.58558502470751,70.79963278876116,2,19817.671124984532,1,97.12463240860107,846034205.0354263,21358667.496620234,310795947.3639315,0.330824077843653,False
500000000.0,800.0,42.0,7,100.0,70.63918474236165,70.82638200515122,2,19817.671124984532,1,85.2354634088154,846034205.0354263,21430499.06273258,311007717.68885756,0.33089772253378325,False
500000000.0,800.0,42.0,8,88.88888888888889,70.68084531036247,70.84717762163824,2,19817.671124984532,1,75.98090616601738,846034205.0354263,21493040.117651522,311178332.1025722,0.3309589599744454,False
500000000.0,800.0,42.0,9,80.0,70.71415609313951,70.86380824518868,2,19817.671124984532,1,68.56981901799908,846034205.0354263,21548528.29220958,311319727.97607577,0.33101120242852283,False
500000000.0,800.0,42.0,10,72.72727272727273,70.74139870311988,70.87741124245176,2,19817.671124984532,1,62.499370752056514,846034205.0354263,21598482.086219285,311439554.66564286,0.33105667097656966,False
