annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
0.5,800.0,0.0,200.0,30.0,0,30.0,0,Transport assets retained,0.25528512417877686,0.25528512417877686,0.25528512417877686,0.0,0.0
0.5,800.0,6.0,200.0,30.0,0,30.0,0,Transport assets retained,0.2689837543157631,0.25528512418756305,0.25528512418756305,0.013698630128200051,0.0
0.5,800.0,12.0,200.0,30.0,0,30.0,0,Transport assets retained,0.28268238445274946,0.25535074890586623,0.25535074890586623,0.027331635546883226,0.0
0.5,800.0,24.0,200.0,30.0,0,30.0,0,Transport assets retained,0.310079644726722,0.28274800917983883,0.28274800917983883,0.02733163554688317,0.0
0.5,800.0,36.0,200.0,30.0,0,30.0,0,Transport assets retained,0.33747690500069466,0.31014526945381143,0.31014526945381143,0.027331635546883226,0.0
0.5,800.0,48.0,200.0,30.0,0,42.0,0,Diameter change,0.36487416527466726,0.33754252972778404,0.3368912192410874,0.027331635546883226,0.0006513104866966435
0.5,800.0,72.0,200.0,30.0,0,42.0,0,Diameter change,0.4196686858226124,0.39233705027572924,0.3916857397890326,0.02733163554688317,0.0006513104866966435
0.5,1200.0,0.0,200.0,30.0,0,30.0,0,Transport assets retained,0.3393331176201775,0.3393331176201775,0.3393331176201775,0.0,0.0
0.5,1200.0,6.0,200.0,30.0,0,30.0,0,Transport assets retained,0.35303174775716384,0.3393331176370312,0.3393331176370312,0.013698630120132615,0.0
0.5,1200.0,12.0,200.0,30.0,0,30.0,0,Transport assets retained,0.36673037789415014,0.3457653430365079,0.3457653430365079,0.02096503485764223,0.0
0.5,1200.0,24.0,200.0,30.0,0,30.0,0,Transport assets retained,0.3941276381681227,0.37316260331048046,0.37316260331048046,0.02096503485764223,0.0
0.5,1200.0,36.0,200.0,30.0,0,30.0,0,Transport assets retained,0.4215248984420953,0.4005598635844531,0.4005598635844531,0.020965034857642173,0.0
0.5,1200.0,48.0,200.0,30.0,0,30.0,0,Transport assets retained,0.4489221587160679,0.4279571238584257,0.4279571238584257,0.020965034857642173,0.0
0.5,1200.0,72.0,200.0,30.0,0,42.0,0,Diameter change,0.5037166792640131,0.48275164440637086,0.4672178683374777,0.02096503485764223,0.015533776068893168
0.5,1600.0,0.0,200.0,30.0,1,30.0,1,Transport assets retained,0.4397458163902554,0.4397458163902554,0.4397458163902554,0.0,0.0
0.5,1600.0,6.0,200.0,30.0,1,30.0,1,Compressor resize,0.4534444465272417,0.45136576515049237,0.44334663173899425,0.002078681376749325,0.008019133411498125
0.5,1600.0,12.0,200.0,30.0,1,30.0,1,Compressor resize,0.46714307666422794,0.46506439528747867,0.449387553859241,0.0020786813767492696,0.015676841428237664
0.5,1600.0,24.0,200.0,30.0,1,30.0,1,Compressor resize,0.4945403369382006,0.4924616555614513,0.47095863287480233,0.002078681376749325,0.021503022686648943
0.5,1600.0,36.0,200.0,30.0,1,30.0,1,Compressor resize,0.5219375972121733,0.5198589158354239,0.498355893148775,0.0020786813767493806,0.021503022686648887
0.5,1600.0,48.0,200.0,30.0,1,30.0,1,Compressor resize,0.5493348574861457,0.5472561761093965,0.5257531534227476,0.0020786813767492696,0.02150302268664883
0.5,1600.0,72.0,200.0,30.0,1,42.0,0,Diameter change,0.604129378034091,0.6020506966573417,0.5596368618190862,0.0020786813767492696,0.04241383483825545
0.5,2000.0,0.0,200.0,30.0,1,30.0,1,Transport assets retained,0.5277848967778932,0.5277848967778932,0.5277848967778932,0.0,0.0
0.5,2000.0,6.0,200.0,30.0,1,30.0,1,Compressor resize,0.5414835269148796,0.5389962792491466,0.5320189301787628,0.002487247665732939,0.0069773490703838315
