strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,design_rank,gap_to_best_2023_usd_per_kg
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,8,133.33333333333334,21.01325,24.307096348175374,47.76971244603563,3011522.943329571,3011522.943329571,1098066.0977663193,2,19817.671124984532,1,2225.7559378255937,46160269.30293245,573189174.2220559,1645517409.009655,66781887.52383974,658839658.6597916,0.34555865589202756,0.01883249228172281,0.12000984894300838,0.13176793173195833,0.616168928848717,308084464.4243585,0.0,Diameter change,True,28,0.1427353457483439
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,4,240.0,21.01325,26.650657379004087,46.08784930390891,2905494.056390451,2905494.056390451,1204094.9847054393,2,19817.671124984532,1,3676.0843333689386,39727710.96921759,525935294.08019495,1645517409.009655,57475650.9351075,722456990.8232635,0.34555865589202756,0.016208133563700315,0.11011620252951415,0.1444913981646527,0.6163743901498947,308187195.07494736,0.0,Diameter change,True,29,0.1429408070495216
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,9,120.0,21.01325,23.9980646542129,47.985737890785565,3025141.7312580585,3025141.7312580585,1084447.3098378316,2,19817.671124984532,1,2027.0955702298684,47257941.261724606,579859154.4552823,1645517409.009655,68369932.96631886,650668385.902699,0.34555865589202756,0.01928032109650192,0.12140635703534762,0.1301336771805398,0.616379011204417,308189505.6022085,0.0,Diameter change,True,30,0.14294542810404387
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,10,109.0909090909091,21.01325,23.742228866496937,48.16354063545201,3036350.86393925,3036350.86393925,1073238.1771566402,2,19817.671124984532,1,1861.2378062099344,48238183.790926665,585473445.0067039,1645517409.009655,69788088.60795194,643942906.2939842,0.34555865589202756,0.01968024098744245,0.12258183311078592,0.12878858125879683,0.6166093112490527,308304655.6245264,0.0,Diameter change,True,31,0.14317572814867963
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,11,100.0,21.01325,23.526907330761418,48.312454046953775,3045738.740322505,3045738.740322505,1063850.300773385,2,19817.671124984532,1,1720.6485098837682,49123283.79098497,590268677.334373,1645517409.009655,71068597.78919905,638310180.464031,0.34555865589202756,0.020041344576554133,0.12358582120611455,0.1276620360928062,0.6168478577675024,308423928.8837512,0.0,Diameter change,True,32,0.1434142746671293
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,12,92.3076923076923,21.01325,23.34316091272415,48.438998226460654,3053716.404001354,3053716.404001354,1055872.6370945363,2,19817.671124984532,1,1599.9435624185485,49929885.06095411,594415419.7153084,1645517409.009655,72235539.75251736,633523582.2567219,0.34555865589202756,0.020370422210209897,0.12445403356797058,0.12670471645134437,0.6170878281215525,308543914.06077623,0.0,Diameter change,True,33,0.1436542450211794
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,13,85.71428571428571,21.01325,23.184504945156526,48.547866627379065,3060579.742095335,3060579.742095335,1049009.2990005552,2,19817.671124984532,1,1495.1710453639143,50670716.06666858,598039787.3059254,1645517409.009655,73307329.27291891,629405579.4003332,0.34555865589202756,0.020672666854963134,0.12521287519761967,0.12588111588006665,0.617325313824677,308662656.9123385,0.0,Diameter change,True,34,0.14389173072430395
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,3,300.0,21.01325,27.882481140058292,45.17373027531984,2847865.691332989,2847865.691332989,1261723.3497629012,2,19817.671124984532,1,4401.779536789437,37140515.54310535,503098374.40294075,1645517409.009655,53732652.97261848,757034009.8577408,0.34555865589202756,0.015152608138278413,0.10533478759000389,0.15140680197154818,0.617452853591858,308726426.795929,0.0,Diameter change,True,35,0.14401927049148489
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,14,80.0,21.01325,23.04611962896766,48.64252437621617,3066547.204903676,3066547.204903676,1043041.8361922139,2,19817.671124984532,1,1403.3636401082254,51355709.86625536,601237071.091717,1645517409.009655,74298336.89850973,625825101.7153283,0.34555865589202756,0.020952131005379744,0.12588229737343373,0.12516502034306567,0.6175581046139066,308779052.3069533,0.0,Diameter change,True,36,0.1441245215135335
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,15,75.0,21.01325,22.92434721651418,48.72558571937034,3071783.60110127,3071783.60110127,1037805.4399946202,2,19817.671124984532,1,1322.2493492825079,51992754.325752825,604080632.2618887,1645517409.009655,75219974.31710127,622683263.996772,0.34555865589202756,0.021212032757422557,0.1264776598852182,0.12453665279935441,0.6177850013340228,308892500.6670114,0.0,Diameter change,True,37,0.14435141823364972
